Шаг,Комбинация,Кол-во,Символ
1,110,4,-
2,1101,2,-
3,11011,1,п
4,011,2,-
5,0111,1,а
6,101,2,-
7,1011,1,н
8,110,4,-
9,1100,2,-
10,11001,1,к
11,111,1,о
12,010,7,-
13,0101,4,-
14,01010,1,в
15,001,1, 
16,100,25,-
17,1001,3,-
18,10010,1,м
19,100,25,-
20,1000,22,-
21,10001,19,-
22,100011,18,-
23,1000111,17,-
24,10001111,16,-
25,100011111,15,-
26,1000111110,14,-
27,10001111101,13,-
28,100011111010,12,-
29,1000111110100,11,-
30,10001111101000,5,-
31,100011111010000,4,-
32,1000111110100001,2,-
33,10001111101000011,1,4
34,100,25,-
35,1000,22,-
36,10001,19,-
37,100011,18,-
38,1000111,17,-
39,10001111,16,-
40,100011111,15,-
41,1000111110,14,-
42,10001111101,13,-
43,100011111010,12,-
44,1000111110100,11,-
45,10001111101000,5,-
46,100011111010001,1,1
47,100,25,-
48,1000,22,-
49,10001,19,-
50,100011,18,-
51,1000111,17,-
52,10001111,16,-
53,100011111,15,-
54,1000111110,14,-
55,10001111101,13,-
56,100011111010,12,-
57,1000111110100,11,-
58,10001111101000,5,-
59,100011111010000,4,-
60,1000111110100000,2,-
61,10001111101000000,1,2
