Символ,p,Код
" ",0.16285539,11
"о",0.09051687,1011
"е",0.06343593,1010
"а",0.061081666,1001
"и",0.05308765,10001
"н",0.053058006,10000
"т",0.04518781,0111
"л",0.04323116,0110
"с",0.042458612,01011
"р",0.038050048,01010
"в",0.032865446,01001
"м",0.027802918,010001
"д",0.026543826,010000
"к",0.023961117,00111
"у",0.023157183,00110
"п",0.022255588,00101
",",0.019814136,001001
"г",0.01692799,0010001
"ь",0.0166106,0010000
"я",0.016110102,00011
"ы",0.015947921,000101
".",0.014352256,0001001
"з",0.013755844,0001000
"б",0.013281505,000011
"ч",0.00980069,0000101
"х",0.008693317,0000100
"й",0.0077673085,0000011
"-",0.0074743344,00000101
"ж",0.0072842496,00000100
"ш",0.0070523117,00000011
"э",0.003869703,00000010
"ю",0.0034633756,00000001
"щ",0.0026350254,000000001
"ф",0.0023350755,0000000001
"ц",0.0016758832,00000000001
":",6.48729E-4,000000000001
"ё",5.4758304E-4,0000000000001
";",1.8136509E-4,00000000000001
"ъ",9.9402016E-5,000000000000001
"1",2.790232E-5,0000000000000001
"3",1.395116E-5,00000000000000001
"0",1.2207265E-5,000000000000000001
"2",1.2207265E-5,0000000000000000001
"(",1.2207265E-5,00000000000000000001
"7",8.719475E-6,000000000000000000001
"4",6.97558E-6,0000000000000000000001
"5",6.97558E-6,00000000000000000000001
"6",6.97558E-6,000000000000000000000001
"8",6.97558E-6,0000000000000000000000001
"9",6.97558E-6,0000000000000000000000000
